map{ id = "caves/cave", description = "Cave" }
sprite{ id = "npc/alttp/broom_grandma", description = "Broom grandma" }
sprite{ id = "npc/alttp/bully", description = "Bully" }
sprite{ id = "npc/alttp/bully_cursed", description = "Cursed Bully" }
sprite{ id = "npc/alttp/camper", description = "Camper" }
sprite{ id = "npc/alttp/drunk_man", description = "Drunk man" }
sprite{ id = "npc/alttp/fat_fairy", description = "Fat fairy" }
sprite{ id = "npc/alttp/flute_boy", description = "Flute boy" }
sprite{ id = "npc/alttp/frog", description = "Frog" }
sprite{ id = "npc/alttp/ghostly_proprietor", description = "Ghostly Proprietor" }
sprite{ id = "npc/alttp/grandson", description = "Grandson" }
sprite{ id = "npc/alttp/great_fairy", description = "Great Fairy" }
sprite{ id = "npc/alttp/lady_blue", description = "Blue lady" }
sprite{ id = "npc/alttp/lady_red", description = "Red lady" }
sprite{ id = "npc/alttp/little_elephant", description = "Little elephant" }
sprite{ id = "npc/alttp/little_tree", description = "Little tree" }
sprite{ id = "npc/alttp/lost_old_man", description = "Lost old man" }
sprite{ id = "npc/alttp/mad_batter_purple", description = "Purple mad batter" }
sprite{ id = "npc/alttp/mad_batter_white", description = "White mad batter" }
sprite{ id = "npc/alttp/merchant_blue", description = "Blue merchant" }
sprite{ id = "npc/alttp/merchant_green", description = "Green merchant" }
sprite{ id = "npc/alttp/merchant_yellow", description = "Yellow merchant" }
sprite{ id = "npc/alttp/mini_game_man_blue", description = "Blue mini-game man" }
sprite{ id = "npc/alttp/mini_game_man_yellow", description = "Yellow mini-game man" }
sprite{ id = "npc/alttp/monkey", description = "Monkey" }
sprite{ id = "npc/alttp/mouse_purple", description = "Purple mouse" }
sprite{ id = "npc/alttp/mustache_man", description = "Mustache man" }
sprite{ id = "npc/alttp/octopus", description = "Octopus" }
sprite{ id = "npc/alttp/old_man", description = "Old man" }
sprite{ id = "npc/alttp/pink_ball", description = "Pink ball" }
sprite{ id = "npc/alttp/priest", description = "Priest" }
sprite{ id = "npc/alttp/running_man", description = "Running man" }
sprite{ id = "npc/alttp/soldier_blue", description = "Blue soldier" }
sprite{ id = "npc/alttp/thief_green", description = "Green thief" }
sprite{ id = "npc/alttp/thief_red", description = "Red thief" }
sprite{ id = "npc/alttp/thief_yellow", description = "Yellow thief" }
sprite{ id = "npc/alttp/uncle", description = "Uncle" }
sprite{ id = "npc/alttp/wise_old_man_green", description = "Green wise old man" }
sprite{ id = "npc/alttp/wise_old_man_yellow", description = "Yellow wise old man" }
sprite{ id = "npc/alttp/witch", description = "Witch" }
sprite{ id = "npc/alttp/wizard", description = "Wizard" }
sprite{ id = "npc/alttp/woman_blue", description = "Blue woman" }
sprite{ id = "npc/alttp/woman_green", description = "Green woman" }
sprite{ id = "npc/alttp/woman_yellow", description = "Yellow woman" }
sprite{ id = "npc/alttp/young_girl_red", description = "Red young girl" }
sprite{ id = "npc/alttp/zelda", description = "Zelda" }
sprite{ id = "npc/bear", description = "Bear" }
sprite{ id = "npc/bee", description = "Bee" }
sprite{ id = "npc/bird", description = "Bird" }
sprite{ id = "npc/bowwow", description = "Bowwow" }
sprite{ id = "npc/butterfly_blue", description = "Butterfly blue" }
sprite{ id = "npc/butterfly_red", description = "Butterfly red" }
sprite{ id = "npc/butterfly_yellow", description = "Butterfly yellow" }
sprite{ id = "npc/christine", description = "Christine" }
sprite{ id = "npc/cucco_man", description = "Cucco man" }
sprite{ id = "npc/fairy", description = "Fairy" }
sprite{ id = "npc/fishman", description = "Fishman" }
sprite{ id = "npc/fishman_b", description = "Fishman B" }
sprite{ id = "npc/flying_rooster", description = "Flying rooster" }
sprite{ id = "npc/frog", description = "Frog" }
sprite{ id = "npc/game_man", description = "Game man" }
sprite{ id = "npc/ghost", description = "Ghost" }
sprite{ id = "npc/grand_ma", description = "Grand-mother" }
sprite{ id = "npc/grand_pa", description = "Grand pa" }
sprite{ id = "npc/kid_1", description = "Kid 1" }
sprite{ id = "npc/kid_2", description = "Kid 2" }
sprite{ id = "npc/kid_3", description = "Kid 3" }
sprite{ id = "npc/kid_4", description = "Kid 4" }
sprite{ id = "npc/mad_bat", description = "Mad bat" }
sprite{ id = "npc/manbo", description = "Manbo" }
sprite{ id = "npc/manbopals_blue", description = "Manbopals blue" }
sprite{ id = "npc/manbopals_emerald", description = "Manbopals emerald" }
sprite{ id = "npc/manbopals_green", description = "Manbopals green" }
sprite{ id = "npc/manbopals_grey", description = "Manbopals grey" }
sprite{ id = "npc/manbopals_pink", description = "Manbopals pink" }
sprite{ id = "npc/manbopals_red", description = "Manbopals red" }
sprite{ id = "npc/manbopals_yellow", description = "Manbopals yellow" }
sprite{ id = "npc/marine", description = "Marine" }
sprite{ id = "npc/meow_meow", description = "Meow meow" }
sprite{ id = "npc/merchant", description = "Merchant" }
sprite{ id = "npc/mermaid", description = "Mermaid" }
sprite{ id = "npc/monique", description = "Monique" }
sprite{ id = "npc/monkey", description = "Monkey" }
sprite{ id = "npc/monkey_brown", description = "Monkey brown" }
sprite{ id = "npc/mouse", description = "Mouse" }
sprite{ id = "npc/mr_write", description = "Mr Write" }
sprite{ id = "npc/owl", description = "Owl" }
sprite{ id = "npc/painter", description = "Painter" }
sprite{ id = "npc/phone", description = "Phone" }
sprite{ id = "npc/photographer", description = "Photographer" }
sprite{ id = "npc/quadruplet_father", description = "Quadruplet's father" }
sprite{ id = "npc/quadruplet_mother", description = "Quadruplet's mother" }
sprite{ id = "npc/rabbit", description = "Rabbit" }
sprite{ id = "npc/raft_man", description = "Raft_man" }
sprite{ id = "npc/richard", description = "Richard" }
sprite{ id = "npc/seagull", description = "Seagull" }
sprite{ id = "npc/small_bowwow", description = "Small bowwow" }
sprite{ id = "npc/tarin", description = "Tarin" }
sprite{ id = "npc/village_bird", description = "Village bird" }
sprite{ id = "npc/village_hippo", description = "Village hippo" }
sprite{ id = "npc/village_teddy", description = "Village teddy" }
sprite{ id = "npc/walrus", description = "Walrus" }
sprite{ id = "npc/wart", description = "Wart" }
sprite{ id = "npc/warts_brother", description = "Wart's brother" }
sprite{ id = "npc/witch", description = "Witch" }
sprite{ id = "shadows/shadow_big", description = "Shadow big" }
sprite{ id = "shadows/shadow_big_dynamic", description = "Shadow big dynamic" }
sprite{ id = "shadows/shadow_small", description = "Shadow small" }

music{ id = "maps/caves/cave", description = "Cave" }
music{ id = "maps/dungeons/1/dungeon", description = "Dungeon 1" }
music{ id = "maps/dungeons/11/dungeon", description = "Dungeon 11" }
music{ id = "maps/dungeons/2/dungeon", description = "Dungeon 2" }
music{ id = "maps/dungeons/3/dungeon", description = "Dungeon 3" }
music{ id = "maps/dungeons/4/dungeon", description = "Dungeon 4" }
music{ id = "maps/dungeons/5/dungeon", description = "Dungeon 5" }
music{ id = "maps/dungeons/6/dungeon", description = "Dungeon 6" }
music{ id = "maps/dungeons/7/dungeon", description = "Dungeon 7" }
music{ id = "maps/dungeons/8/dungeon", description = "Dungeon 8" }
music{ id = "maps/dungeons/9/dungeon", description = "Dungeon 9" }
music{ id = "maps/dungeons/boss", description = "Boss" }
music{ id = "maps/dungeons/instruments", description = "Instruments" }
music{ id = "maps/dungeons/passageways", description = "Passageways" }
music{ id = "maps/dungeons/small_boss", description = "Small boss" }
music{ id = "maps/houses/cucco_house", description = "Cucco's House" }
music{ id = "maps/houses/dream_shine_in_the_bed", description = "Dream shine in the bed" }
music{ id = "maps/houses/dream_shine_lower_level", description = "Dream shine lower level" }
music{ id = "maps/houses/dream_shine_upper_level", description = "Dream shine upper level" }
music{ id = "maps/houses/ghost_house", description = "Ghost's house" }
music{ id = "maps/houses/inside", description = "Inside" }
music{ id = "maps/houses/kanalet_castle", description = "Kanalet castle" }
music{ id = "maps/houses/links_awake", description = "Link wakes up" }
music{ id = "maps/houses/mr_write_and_christine", description = "Mr Write and Christine" }
music{ id = "maps/houses/richards_villa", description = "Richard villa" }
music{ id = "maps/houses/shop", description = "Shop" }
music{ id = "maps/houses/shop_high", description = "Shop high" }
music{ id = "maps/houses/southern_shrine", description = "Southern shrine" }
music{ id = "maps/houses/telephone_booth", description = "Telephone booth" }
music{ id = "maps/houses/trendy_game", description = "Trendy game" }
music{ id = "maps/out/animal_village", description = "Animal village" }
music{ id = "maps/out/let_the_journey_begin", description = "Let the journey begin" }
music{ id = "maps/out/mabe_village", description = "Mabe village" }
music{ id = "maps/out/moblins_and_bow_wow", description = "Moblins and bow wow" }
music{ id = "maps/out/mt_tamaranch", description = "Mt Tamaranch" }
music{ id = "maps/out/mt_tamaranch_marine", description = "Mt Tamaranch Marine" }
music{ id = "maps/out/mysterious_forest", description = "Mysterious forest" }
music{ id = "maps/out/overworld", description = "Overworld" }
music{ id = "maps/out/song_of_marine", description = "Song of Marine" }
music{ id = "maps/out/song_of_marine_and_link", description = "Song of Marine and Link" }
music{ id = "maps/out/sword_search", description = "Sword search" }
music{ id = "scripts/menus/game_over", description = "Game over" }
music{ id = "scripts/menus/introduction", description = "Introduction" }
music{ id = "scripts/menus/player_select", description = "Player select" }
music{ id = "scripts/menus/player_select_moyse", description = "Player select Moyse" }
music{ id = "scripts/menus/player_select_zelda", description = "Player select Zelda" }
music{ id = "scripts/menus/title_screen", description = "Title screen" }
music{ id = "scripts/menus/title_screen_no_intro", description = "Title screen no intro" }
music{ id = "scripts/meta/map/fairy_fountain", description = "Fairy fountain" }
music{ id = "scripts/meta/map/the_wise_owl", description = "The wise owl" }

sound{ id = "arrow_hit", description = "Arrow hit" }
sound{ id = "bomb", description = "Bomb" }
sound{ id = "boomerang", description = "Boomerang" }
sound{ id = "boss_1_explode_part", description = "Boss 1 explode" }
sound{ id = "boss_hurt", description = "Boss hurt" }
sound{ id = "boss_killed", description = "Boss killed" }
sound{ id = "bounce", description = "Bounce" }
sound{ id = "bow", description = "Bow" }
sound{ id = "bowwow", description = "bowwow" }
sound{ id = "bush", description = "Bush" }
sound{ id = "castle_door", description = "Castle door" }
sound{ id = "chest_open", description = "Chest open" }
sound{ id = "compass_signal", description = "Compass signal" }
sound{ id = "cursor", description = "Cursor" }
sound{ id = "danger", description = "Danger" }
sound{ id = "diarandor/solarus_logo", description = "Solarus logo" }
sound{ id = "dig", description = "Dig" }
sound{ id = "door_closed", description = "Door closed" }
sound{ id = "door_open", description = "Door open" }
sound{ id = "door_unlocked", description = "Door unlocked" }
sound{ id = "enemies/sea_urchin_1", description = "enemies/sea_urchin_1" }
sound{ id = "enemies/sea_urchin_2", description = "enemies/sea_urchin_2" }
sound{ id = "enemy_bounce", description = "Enemy bounce" }
sound{ id = "enemy_hurt", description = "Enemy hurt" }
sound{ id = "enemy_killed", description = "Enemy killed" }
sound{ id = "explosion", description = "Explosion" }
sound{ id = "fairy_heal", description = "fairy_heal" }
sound{ id = "fairy_vanish", description = "fairy_vanish" }
sound{ id = "flame", description = "flame" }
sound{ id = "ground_grumble", description = "Ground grumble" }
sound{ id = "hammer", description = "Hammer" }
sound{ id = "heart", description = "Heart" }
sound{ id = "heart_container", description = "Heart container" }
sound{ id = "hero_dying", description = "Hero dying" }
sound{ id = "hero_falls", description = "Hero falls" }
sound{ id = "hero_get_sword", description = "Hero get sword" }
sound{ id = "hero_hurt", description = "Hero hurt" }
sound{ id = "hero_lands", description = "Hero lands" }
sound{ id = "hero_pushes", description = "Hero pushes" }
sound{ id = "hookshot", description = "Hookshot" }
sound{ id = "instruments/instrument", description = "Instrument" }
sound{ id = "instruments/instrument_1", description = "Instrument 1" }
sound{ id = "instruments/instrument_2", description = "Instrument 2" }
sound{ id = "instruments/instrument_3", description = "Instrument 3" }
sound{ id = "instruments/instrument_4", description = "Instrument 4" }
sound{ id = "instruments/instrument_5", description = "Instrument 5" }
sound{ id = "instruments/instrument_6", description = "Instrument 6" }
sound{ id = "instruments/instrument_7", description = "Instrument 7" }
sound{ id = "instruments/instrument_8", description = "Instrument 8" }
sound{ id = "intro", description = "Intro" }
sound{ id = "items/ocarina", description = "items/ocarina" }
sound{ id = "items/ocarina_1", description = "items/ocarina_1" }
sound{ id = "items/ocarina_2", description = "items/ocarina_2" }
sound{ id = "items/ocarina_2_warp", description = "items/ocarina_2_warp" }
sound{ id = "items/ocarina_3", description = "items/ocarina_3" }
sound{ id = "items/ocarina_3_revive_1", description = "items/ocarina_3_revive_1" }
sound{ id = "items/ocarina_3_revive_2", description = "items/ocarina_3_revive_2" }
sound{ id = "jump", description = "Jump" }
sound{ id = "laser", description = "Laser" }
sound{ id = "lift", description = "Lift" }
sound{ id = "mad_bat_appear", description = "Mad bat appear" }
sound{ id = "mad_bat_disappear", description = "Mad bat disappear" }
sound{ id = "magic_powder", description = "magic_powder" }
sound{ id = "message_end", description = "Message end" }
sound{ id = "message_letter", description = "Message letter" }
sound{ id = "monkeys_build_a_bridge", description = "Monkeys build a bridge" }
sound{ id = "monster_hurt", description = "Monster hurt" }
sound{ id = "ok", description = "Ok" }
sound{ id = "pause_closed", description = "Pause closed" }
sound{ id = "pause_open", description = "Pause open" }
sound{ id = "picked_item", description = "Picked item" }
sound{ id = "picked_rupee", description = "Picked rupee" }
sound{ id = "picked_small_key", description = "Picked small key" }
sound{ id = "piece_of_heart", description = "get heart container" }
sound{ id = "rolling_spike", description = "Rolling spike" }
sound{ id = "running", description = "Running" }
sound{ id = "running_obstacle", description = "Running obstacle" }
sound{ id = "rupee_counter", description = "Rupee counter" }
sound{ id = "rupee_counter_end", description = "Rupee counter end" }
sound{ id = "seagull", description = "Seagull" }
sound{ id = "secret_1", description = "Secret 1" }
sound{ id = "secret_2", description = "Secret 2" }
sound{ id = "shake", description = "Shake" }
sound{ id = "shield_brandish", description = "Shield brandish" }
sound{ id = "solarus_logo", description = "Solarus logo" }
sound{ id = "splash", description = "Splash" }
sound{ id = "stairs_down_end", description = "Stairs down end" }
sound{ id = "stairs_down_start", description = "Stairs down end" }
sound{ id = "stairs_up_end", description = "Stairs up end" }
sound{ id = "stairs_up_start", description = "Stairs up start" }
sound{ id = "stone", description = "Stone" }
sound{ id = "swim", description = "Swim" }
sound{ id = "switch", description = "Switch" }
sound{ id = "sword1", description = "Sword 1" }
sound{ id = "sword_spin_attack_load", description = "Sword spin attack load" }
sound{ id = "sword_spin_attack_release", description = "Sword spin attack release" }
sound{ id = "sword_tapping", description = "Sword tapping" }
sound{ id = "sword_tapping_weak_wall", description = "Sword tapping weak wall" }
sound{ id = "tarin_and_bees", description = "Tarin and bees" }
sound{ id = "teletransporter", description = "Teletransporter" }
sound{ id = "teletransporter_appear", description = "Teletransporter appear" }
sound{ id = "throw", description = "Throw" }
sound{ id = "thunder", description = "Thunder" }
sound{ id = "treasure", description = "Get treasure" }
sound{ id = "treasure_2", description = "Get treasure 2" }
sound{ id = "treasure_sword", description = "Get treasure sword" }
sound{ id = "trendy_game_lever", description = "Trendy game lever" }
sound{ id = "trendy_game_win", description = "Trendy game win" }
sound{ id = "urchin1", description = "Urchin 1" }
sound{ id = "urchin2", description = "Urchin 2" }
sound{ id = "walk_on_grass", description = "Walk on grass" }
sound{ id = "walk_on_water", description = "Walk on water" }
sound{ id = "wallturn", description = "Wallturn" }
sound{ id = "water_fill", description = "Water fill" }
sound{ id = "wrong", description = "Wrong" }
sound{ id = "zonzifleur/solarus_team_logo", description = "Solarus Team logo" }
sound{ id = "zora", description = "Zora" }

item{ id = "angler_key", description = "Angler key" }
item{ id = "arrow", description = "Arrow" }
item{ id = "beak_of_stone", description = "Beak of stone" }
item{ id = "bird_key", description = "Bird key" }
item{ id = "bomb", description = "Bomb" }
item{ id = "bombs_counter", description = "Bombs counter" }
item{ id = "boomerang", description = "Boomerang" }
item{ id = "boss_key", description = "Boss key" }
item{ id = "bow", description = "Bow" }
item{ id = "compass", description = "Compass" }
item{ id = "drug", description = "Drug" }
item{ id = "face_key", description = "Face key" }
item{ id = "fairy", description = "Fairy" }
item{ id = "feather", description = "Feather" }
item{ id = "fire_rod", description = "Fire rod" }
item{ id = "flippers", description = "Flippers" }
item{ id = "golden_leaf", description = "Golden leaf" }
item{ id = "golden_leaves_counter", description = "Golden leafs counter" }
item{ id = "hammer", description = "Hammer" }
item{ id = "heart", description = "Heart" }
item{ id = "heart_container", description = "Heart container" }
item{ id = "heart_fly", description = "Heart fly" }
item{ id = "hookshot", description = "Hookshot" }
item{ id = "instrument_1", description = "Full Moon Cello" }
item{ id = "instrument_2", description = "Conch horn" }
item{ id = "instrument_3", description = "Sea lily's bell" }
item{ id = "instrument_4", description = "Surf Harp" }
item{ id = "instrument_5", description = "Wind marimba" }
item{ id = "instrument_6", description = "Coral triangle" }
item{ id = "instrument_7", description = "Organ of Evening Calm" }
item{ id = "instrument_8", description = "Thunder Drum" }
item{ id = "magic_powder", description = "Magic Powder" }
item{ id = "magic_powders_counter", description = "Magic powders counter" }
item{ id = "magnifying_lens", description = "Magnifying lens" }
item{ id = "map", description = "Dungeon map" }
item{ id = "melody_1", description = "Melody 1" }
item{ id = "melody_2", description = "Melody 2" }
item{ id = "melody_3", description = "Melody 3" }
item{ id = "mushroom", description = "Mushroom" }
item{ id = "ocarina", description = "Ocarina" }
item{ id = "pegasus_shoes", description = "Pegasus shoes" }
item{ id = "photo", description = "Photo" }
item{ id = "photos_counter", description = "Photos counter" }
item{ id = "piece_of_heart", description = "Piece of heart" }
item{ id = "power_bracelet", description = "Power bracelet" }
item{ id = "quiver", description = "Quiver" }
item{ id = "random", description = "Random" }
item{ id = "rupee", description = "Rupee" }
item{ id = "rupee_bag", description = "Ruppe bag" }
item{ id = "seashell", description = "Seashell" }
item{ id = "seashells_counter", description = "Seashells counter" }
item{ id = "shield", description = "Shield" }
item{ id = "shovel", description = "Shovel" }
item{ id = "slim_key", description = "Slim key" }
item{ id = "small_key", description = "Small key" }
item{ id = "sword", description = "Sword" }
item{ id = "tail_key", description = "Tail key" }
item{ id = "tunic", description = "Tunic (green/blue/red)" }

enemy{ id = "arm_mimic", description = "Arm mimic" }
enemy{ id = "arrow", description = "Arrow" }
enemy{ id = "beamos", description = "Beamos" }
enemy{ id = "blob_green", description = "Blob green" }
enemy{ id = "blob_red", description = "Blob red" }
enemy{ id = "boss/genie", description = "Genie" }
enemy{ id = "boss/genie/genie_bottle", description = "Genie bottle" }
enemy{ id = "boss/hinox_master", description = "Hinox master" }
enemy{ id = "boss/moblin_chief", description = "Moblin chief" }
enemy{ id = "boss/moldorm", description = "Moldorm" }
enemy{ id = "boss/moldorm/moldorm_body_1", description = "Moldorm body 1" }
enemy{ id = "boss/moldorm/moldorm_body_2", description = "Moldorm body 2" }
enemy{ id = "boss/moldorm/moldorm_body_3", description = "Moldorm body 3" }
enemy{ id = "boss/moldorm/moldorm_head", description = "Moldorm head" }
enemy{ id = "boss/rolling_bones", description = "Rolling bones" }
enemy{ id = "boss/rolling_bones/rolling_bones_spike", description = "Rolling bones spike" }
enemy{ id = "bubble", description = "Bubble" }
enemy{ id = "chicken", description = "Chicken" }
enemy{ id = "chicken_mortal", description = "Chicken mortal" }
enemy{ id = "death_ball", description = "Death ball" }
enemy{ id = "dog", description = "Dog" }
enemy{ id = "evil_tile", description = "Evile tile" }
enemy{ id = "fireball", description = "Fireball" }
enemy{ id = "flying_tile", description = "Flying tile" }
enemy{ id = "generic_towards_hero", description = "generic_towards_hero" }
enemy{ id = "generic_waiting_for_hero", description = "generic_waiting_for_hero" }
enemy{ id = "giant_goponga_flower", description = "Giant goponga flower" }
enemy{ id = "goomba", description = "Goomba" }
enemy{ id = "goponga_flower", description = "Goponga flower" }
enemy{ id = "hardhat_beetle_blue", description = "Hardhat beetle blue" }
enemy{ id = "hardhat_beetle_red", description = "Hardhat beetle red" }
enemy{ id = "hooded_stalfos", description = "Hooded stalfos" }
enemy{ id = "keese", description = "Keese" }
enemy{ id = "maskass", description = "Maskass" }
enemy{ id = "moblin", description = "Moblin" }
enemy{ id = "monkey", description = "Monkey" }
enemy{ id = "octorok", description = "Octorok" }
enemy{ id = "octorok_stone", description = "Octorok stone" }
enemy{ id = "pike_auto", description = "Pike auto" }
enemy{ id = "pike_detect", description = "Pike detect" }
enemy{ id = "pike_fixed", description = "Pike fixed" }
enemy{ id = "pols_voice", description = "Pols voice" }
enemy{ id = "sand_crab", description = "Sand crab" }
enemy{ id = "sea_urchin", description = "Sea urchin" }
enemy{ id = "stalfos_blue", description = "Stalfos blue" }
enemy{ id = "stalfos_grey", description = "Stalfos grey" }
enemy{ id = "stalfos_red", description = "Stalfos red" }
enemy{ id = "star", description = "Star" }
enemy{ id = "tektite_blue", description = "Tektite blue" }
enemy{ id = "vegas", description = "Vegas" }
enemy{ id = "wizzrobe_beam", description = "Wizzrobe beam" }
enemy{ id = "wizzrobe_blue", description = "Wizzrobe blue" }
enemy{ id = "wizzrobe_white", description = "Wizzrobe white" }
enemy{ id = "zol_green", description = "Zol green" }

entity{ id = "bee", description = "Bee" }
entity{ id = "bird", description = "Bird" }
entity{ id = "bowwow", description = "Bowwow" }
entity{ id = "bowwow_follow", description = "Bowwow follow" }
entity{ id = "butterfly", description = "Butterfly" }
entity{ id = "collapsing_soil", description = "Collapsing soil" }
entity{ id = "conveyor_belt", description = "Conveyor belt" }
entity{ id = "fire", description = "Fire" }
entity{ id = "frog", description = "Frog" }
entity{ id = "green_crystal", description = "Green crystal" }
entity{ id = "heart_fly", description = "Heart fly" }
entity{ id = "heavy_object", description = "Heavy object" }
entity{ id = "heavy_statue", description = "Heavy statue" }
entity{ id = "hole", description = "Hole" }
entity{ id = "hookable", description = "Hookable" }
entity{ id = "marine", description = "Marine" }
entity{ id = "mouse", description = "Mouse" }
entity{ id = "mr_write", description = "Mr Write" }
entity{ id = "non_diggable", description = "Non diggable" }
entity{ id = "obstacle", description = "Obstacle" }
entity{ id = "seagull", description = "Seagull" }
entity{ id = "statue_pig", description = "Statue pig" }
entity{ id = "torch", description = "Torch" }
entity{ id = "vacuum_cleaner", description = "Vacuum cleaner" }
entity{ id = "wallturn", description = "Wallturn" }

language{ id = "fr", description = "Français" }

font{ id = "green_digits", description = "Green digits" }
font{ id = "la", description = "Link s Awakening" }
font{ id = "minecraftia", description = "Minecraftia" }
font{ id = "minecraftia_mono", description = "Minecraftia Mono" }
font{ id = "small_green_digits", description = "Small green digits" }
font{ id = "small_white_digits", description = "Small white digits" }
font{ id = "white_digits", description = "White digits" }

shader{ id = "6xbrz", description = "6xbrz" }
shader{ id = "mode_7", description = "Mode 7" }
shader{ id = "sepia", description = "Sepia" }
shader{ id = "toon", description = "Toon" }
shader{ id = "xBR-v3.8c", description = "xBR-v3.8c" }

